Bus Number,Bus Name,Sub Name,Nom kV,Area Name,Longitude,Latitude
72,COLLIERVILLE_38017_230.0,COLLIERVILLE_38017,230,TN,-89.57,35.12
16,FRANKLIN_37064_230.0,FRANKLIN_37064,230,TN,-86.95,35.87
82,GERMANTOWN_38138_230.0,GERMANTOWN_38138,230,TN,-89.78,35.06
141,Gallatin (TN)_230.0,Gallatin (TN),230,TN,-86.4,36.32
142,Gallatin (TN)_500.0,Gallatin (TN),500,TN,-86.4,36.32
149,John Sevier_230.0,John Sevier,230,TN,-82.96,36.38
150,John Sevier_500.0,John Sevier,500,TN,-82.96,36.38
143,Johnsonville_230.0,Johnsonville,230,TN,-87.99,36.03
144,Johnsonville_500.0,Johnsonville,500,TN,-87.99,36.03
138,Kingston_230.0,Kingston,230,TN,-84.46,35.91
139,Kingston_500.0,Kingston,500,TN,-84.46,35.91
89,LAWRENCEBURG_38464_230.0,LAWRENCEBURG_38464,230,TN,-87.31,35.3
136,Lagoon Creek_230.0,Lagoon Creek,230,TN,-89.4,35.65
137,Lagoon Creek_500.0,Lagoon Creek,500,TN,-89.4,35.65
76,MEMPHIS_38103_230.0,MEMPHIS_38103,230,TN,-90.02,35.15
77,MEMPHIS_38109_230.0,MEMPHIS_38109,230,TN,-90.14,35.06
75,MEMPHIS_38127_230.0,MEMPHIS_38127,230,TN,-89.99,35.28
78,MEMPHIS_38128_230.0,MEMPHIS_38128,230,TN,-89.93,35.2
74,MEMPHIS_38134_230.0,MEMPHIS_38134,230,TN,-89.85,35.19
13,NASHVILLE_37221_230.0,NASHVILLE_37221,230,TN,-87.02,36.04
147,Pickwick Landing Dam_230.0,Pickwick Landing Dam,230,TN,-88.25,35.07
148,Pickwick Landing Dam_500.0,Pickwick Landing Dam,500,TN,-88.25,35.07
145,Sequoyah_230.0,Sequoyah,230,TN,-85.09,35.23
146,Sequoyah_500.0,Sequoyah,500,TN,-85.09,35.23
140,Tims Ford_230.0,Tims Ford,230,TN,-86.28,35.2
