Time,87,4,66,33,107,5,67,70,24,41,31,32,46,14,108,11,98,34,50,72,26,90,105,36,71,104,57,37,12,38,73,45,103,39,16,25,82,2,44,141,142,59,17,18,40,94,65,83,86,95,54,93,42,43,97,149,150,143,144,47,52,56,64,100,63,92,62,138,139,55,10,89,3,20,91,53,136,137,85,61,49,109,7,76,77,79,99,80,81,75,78,74,51,48,23,96,8,102,29,21,6,30,28,22,101,13,84,147,148,88,60,9,19,35,145,146,58,27,106,140,68,15,69
0,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.066667,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.133333,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.2,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.266667,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.333333,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.4,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.466667,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
0.533333,1.0194,1.008,0.9974,1.0301,1.0465,0.9978,1.0071,1.0206,1.0364,1.0193,1.0158,1.0274,1.0239,1.0237,1.045,1.0316,1.0458,1.0197,1.0091,0.9938,1.0043,1.0293,1.0444,1.0238,0.9975,1.027,1.0181,1.0219,0.9989,1.0141,1.0116,1.0244,1.0373,1.01,0.9939,1.0237,0.9946,1.0016,1.022,1.0266,1.0444,1.0266,1.0145,1.0116,1.0289,1.0491,1.012,1.0067,1.032,1.0485,1.0236,1.0415,1.0198,1.0231,1.0402,1.0345,1.0449,1.0403,1.054,1.0166,1.0103,1.01,1.0202,1.0395,1.0208,1.0386,1.0173,1.0341,1.0484,1.0093,1.021,0.9891,1.0115,1.0132,1.0222,1.025,1.0291,1.0452,1.006,1.014,1.0222,1.0397,1.0071,0.9966,0.9935,1.008,1.026,0.9971,0.9991,0.9897,0.9914,0.9935,1.0175,1.0212,1.0186,1.038,1.023,1.0395,1.009,1.0063,0.9968,1.009,1.0024,1.0166,1.0399,0.9902,1.017,1.0341,1.0478,1.0141,1.0097,1.0012,1.0089,1.0319,1.0373,1.0525,1.0097,1.0297,1.0426,1.0235,1.0046,1.0136,1.016
